"customer_id","customer_name","customer_email","customer_address","age","gender","occupation","policy_id","policy_type","policy_start_date","policy_days","claim_id","claim_date","claim_amount","claim_category","num_claims","total_claim_amount"
9887,"Samuel Williams","raguilar@example.net","22855 Hernandez Drive Apt. 750
East Marcus, AZ 85840",30,"Female","Best boy",1,"HEALTH_INSURANCE","2023-11-01",-220,NULL,NULL,NULL,NULL,0,NULL
5374,"Thomas Cobb","hperez@example.net","63162 Dakota Hill Suite 288
East Rebeccastad, SD 51454",45,"Female","Hydrologist",2,"HEALTH_INSURANCE","2022-04-22",338,NULL,NULL,NULL,NULL,0,NULL
5507,"Steven Williams","kdyer@example.com","156 Ortega Crossing
North Christopherstad, KY 51701",19,"Female","Estate manager/land agent",3,"AUTO_INSURANCE","2022-07-01",268,NULL,NULL,NULL,NULL,0,NULL
3386,"Michelle Sanchez","martinezkenneth@example.org","Unit 2064 Box 5231
DPO AP 12406",46,"Male","Accountant, chartered certified",4,"AUTO_INSURANCE","2022-08-04",234,NULL,NULL,NULL,NULL,0,NULL
1361,"Michelle Cox","morandonna@example.net","58241 Frank Port
West Jeffstad, PW 46723",62,"Male","Hotel manager",5,"AUTO_INSURANCE","2023-12-05",-254,3645,"2021-04-03",5560,"High",4,18997
5050,"Mary Reynolds","tberg@example.org","43879 Hunt Land
Pierceport, AL 98708",26,"Male","Administrator, education",6,"HEALTH_INSURANCE","2022-05-05",325,4745,"2022-09-24",3945,"High",1,3945
8896,"Angela Kent","jennifer55@example.com","9941 Irwin Spurs Apt. 698
Carlaborough, WV 37188",54,"Female","Telecommunications researcher",7,"HEALTH_INSURANCE","2022-12-20",96,3918,"2022-06-24",9137,"High",2,15240
1151,"Latasha Jackson","cli@example.org","PSC 0397, Box 3261
APO AA 03805",27,"Female","Proofreader",8,"AUTO_INSURANCE","2023-12-28",-277,2397,"2021-07-24",1573,"Medium",2,5141
1151,"Latasha Jackson","cli@example.org","PSC 0397, Box 3261
APO AA 03805",27,"Female","Proofreader",8,"AUTO_INSURANCE","2023-12-28",-277,4629,"2021-04-25",3568,"High",2,5141
6561,"Victor Chandler","kimberly19@example.org","Unit 4408 Box 3629
DPO AE 49517",40,"Female","Education officer, museum",9,"AUTO_INSURANCE","2023-06-27",-93,NULL,NULL,NULL,NULL,0,NULL
2905,"Robert Simpson","tonya47@example.com","87400 Keith Creek Suite 036
Cynthialand, FL 80290",24,"Male","Buyer, industrial",10,"AUTO_INSURANCE","2023-03-31",-5,NULL,NULL,NULL,NULL,0,NULL
7284,"Mr. Joel Ramos","anna88@example.com","4965 Byrd Tunnel Suite 537
Barbarastad, AS 88309",50,"Female","Barrister's clerk",11,"AUTO_INSURANCE","2022-07-16",253,NULL,NULL,NULL,NULL,2,16465
7147,"Krista Burgess","pamelahiggins@example.net","87411 Armstrong Gardens Suite 824
Nguyenhaven, VA 41218",34,"Female","Engineer, technical sales",12,"AUTO_INSURANCE","2024-01-25",-305,2471,"2021-05-15",953,"Medium",2,6424
8999,"Kristen Ford","jessica04@example.net","1624 Nicole Locks Suite 437
Richland, WA 11430",65,"Male","Advertising art director",13,"HEALTH_INSURANCE","2024-02-27",-338,2001,"2021-07-16",459,"Low",1,459
6207,"Hannah Wells","vazquezjeffery@example.com","50232 Allison Road Suite 442
Lake Brianland, MP 56723",22,"Male","Engineer, civil (contracting)",14,"AUTO_INSURANCE","2023-03-04",22,NULL,NULL,NULL,NULL,0,NULL
980,"Dwayne Stokes","patrickvaughan@example.org","PSC 7361, Box 1025
APO AP 56085",18,"Female","Education officer, museum",15,"HEALTH_INSURANCE","2022-06-20",279,2765,"2021-05-18",8773,"High",1,8773
78,"Angela Chandler","ruizemily@example.com","976 Joseph Gardens
New Williamton, DE 99155",18,"Male","Communications engineer",16,"LIFE_INSURANCE","2022-05-06",324,NULL,NULL,NULL,NULL,0,NULL
1296,"Heather Hansen","jill99@example.com","05078 Mayo Crest
Harmonfurt, VT 24486",50,"Male","Industrial/product designer",17,"AUTO_INSURANCE","2024-01-21",-301,NULL,NULL,NULL,NULL,0,NULL
3140,"Erika Fisher","ymcdaniel@example.com","2472 Alexander Streets Suite 781
Sarahmouth, OR 35202",39,"Female","Dentist",18,"HEALTH_INSURANCE","2022-09-22",185,1721,"2022-02-18",9219,"High",1,9219
8064,"Ashley Owens MD","wheelerlouis@example.net","389 Cooper Isle
Keithton, MO 66365",34,"Male","Civil Service administrator",19,"HEALTH_INSURANCE","2022-06-25",274,616,"2021-09-07",2113,"High",1,2113
