"customer_id","customer_name","customer_email","customer_address","age","gender","occupation","policy_id","policy_type","policy_start_date","claim_id","claim_date","claim_amount"
9892,"Mary Ford","pmarks@example.com","26852 Pace Square Suite 228
North Branditon, IA 46614",31,"Female","Passenger transport manager",8094,"HEALTH_INSURANCE","2023-07-18",1,"2022-03-24",9821
4208,"James Russo","kevinjackson@example.net","4578 William Meadow
West Ian, CO 15486",37,"Male","Accounting technician",6511,"LIFE_INSURANCE","2022-03-31",2,"2022-09-08",7627
7039,"Daniel Davis","amyray@example.net","USS Mahoney
FPO AP 36468",51,"Female","Production engineer",4644,"LIFE_INSURANCE","2023-10-09",3,"2022-10-31",9541
5132,"Chad Garcia","michaelsimpson@example.org","60110 Fields Street Apt. 098
Kennethbury, NV 12334",60,"Female","Newspaper journalist",2772,"LIFE_INSURANCE","2023-01-21",4,"2023-01-01",1256
6392,"Amanda Jackson","victoria24@example.net","421 Tina Branch
Amberfurt, MH 63121",60,"Female","Estate manager/land agent",8357,"AUTO_INSURANCE","2022-12-27",5,"2021-07-08",3948
8279,"Karen Martinez","nbaker@example.org","Unit 9295 Box 3476
DPO AE 59110",52,"Male","Engineer, civil (contracting)",2728,"HEALTH_INSURANCE","2023-10-22",6,"2022-11-27",8492
4535,"Michael Pierce","elowery@example.com","438 Wood Village
Clarkborough, MD 25561",56,"Male","Designer, exhibition/display",6561,"AUTO_INSURANCE","2023-04-10",7,"2022-03-07",3706
92,"Marcus Marshall","cnewman@example.com","0539 Baldwin Inlet Apt. 056
East Mary, RI 72902",58,"Male","Medical technical officer",2099,"AUTO_INSURANCE","2022-03-24",8,"2022-11-01",5417
6268,"Joanna Whitaker","peggy16@example.org","33002 Caleb Forks
Port Jenniferville, FL 72952",35,"Male","Economist",5228,"HEALTH_INSURANCE","2023-11-20",9,"2023-01-09",4839
8576,"Ashley Nelson","melanieaguilar@example.net","PSC 9331, Box 9850
APO AA 79558",65,"Female","Materials engineer",4822,"HEALTH_INSURANCE","2023-01-15",10,"2022-03-23",8565
4385,"Katelyn Robinson","haneymartin@example.org","91969 Hoover Row Suite 776
Westton, AZ 58360",37,"Female","Medical sales representative",5509,"AUTO_INSURANCE","2023-01-19",11,"2022-02-01",797
5173,"Tanya Powell","sarah17@example.org","68099 Greene Lake Suite 332
Meganport, PW 66285",34,"Male","Electronics engineer",7569,"HEALTH_INSURANCE","2023-03-28",12,"2021-11-13",8903
1585,"Terrance Wilkinson","martinezkirsten@example.net","125 Gary Falls
West Christopher, MT 33054",22,"Female","Sales professional, IT",7218,"HEALTH_INSURANCE","2022-03-21",13,"2022-02-12",5920
9103,"Robin Moreno","hartmandeborah@example.com","7318 Jennifer Mount Suite 783
Nobleside, LA 15801",62,"Female","Engineer, control and instrumentation",6774,"AUTO_INSURANCE","2022-09-13",14,"2023-02-03",4474
5201,"Brent Porter","johnsonraymond@example.net","679 Barnett Walks
Port Michaelbury, MD 51138",32,"Male","Sports coach",6281,"HEALTH_INSURANCE","2022-12-19",15,"2021-10-30",2323
7075,"Ronald Brown","wbentley@example.com","6100 Craig Lodge Apt. 070
Jacksonview, IA 88629",22,"Male","Geophysical data processor",3605,"HEALTH_INSURANCE","2023-08-05",16,"2022-12-09",1436
3969,"Caleb Adkins","eallen@example.com","71786 Aguilar Brooks Apt. 792
Thomasberg, PW 06506",18,"Male","Production designer, theatre/television/film",2817,"HEALTH_INSURANCE","2024-03-11",17,"2021-12-29",2359
8623,"Michael Obrien","mward@example.com","451 Timothy Islands Apt. 740
South Colleen, MO 27385",36,"Male","Best boy",5902,"LIFE_INSURANCE","2022-10-28",18,"2021-03-20",9526
4004,"Brian Soto","joshua35@example.com","87181 Juarez Rapid
East Megan, GU 27676",59,"Male","Geophysicist/field seismologist",1950,"AUTO_INSURANCE","2022-12-24",19,"2022-05-27",8251
3192,"Benjamin Tran","chelsea96@example.org","926 Diana Plaza
East Andrew, MO 51000",29,"Male","Land",7468,"AUTO_INSURANCE","2023-03-31",20,"2021-05-24",3655
2340,"Ann Burgess","lewisjohnny@example.com","0942 Mary Stravenue
Wilkersonville, MP 40329",48,"Male","Engineer, water",7951,"HEALTH_INSURANCE","2022-10-15",21,"2021-10-05",5737
1937,"Thomas Hernandez","mhiggins@example.net","3214 King Route Apt. 799
Petersonfort, PA 19145",21,"Female","Records manager",8602,"HEALTH_INSURANCE","2022-12-31",22,"2022-12-21",3102
8366,"Shannon Riley","kellyking@example.com","681 Flores Hollow Suite 947
Katherinetown, NC 65119",38,"Female","Advertising account planner",1051,"AUTO_INSURANCE","2022-07-27",23,"2023-01-06",8660
5958,"Katherine Bates","jimmygraves@example.com","12545 Brown Views Suite 856
North Cynthiashire, GU 59928",37,"Female","Database administrator",5455,"AUTO_INSURANCE","2023-06-29",24,"2021-10-22",9046
3456,"William Brown","john12@example.net","5866 Harding Trace Suite 363
Port Thomas, PA 26642",65,"Male","Personal assistant",244,"HEALTH_INSURANCE","2024-01-23",25,"2022-11-20",2094
6437,"Shelley Taylor","leelisa@example.org","07686 Anthony Pass Suite 484
North Alexisshire, FL 26883",64,"Female","Corporate treasurer",7530,"HEALTH_INSURANCE","2023-06-02",26,"2023-01-19",4448
8090,"Christina Yates","wgentry@example.com","1275 Smith Throughway
Vancefurt, IN 61484",48,"Male","Tax inspector",5797,"LIFE_INSURANCE","2022-07-08",27,"2022-01-18",4677
6089,"Sonya Rose","candicesoto@example.org","4397 Erik Fords Suite 399
Michellehaven, MA 70085",56,"Female","Microbiologist",2240,"LIFE_INSURANCE","2023-09-03",28,"2021-12-16",3720
758,"Amy Phillips","cristinafisher@example.net","497 Joseph Shoals
New Brandonton, AS 69495",21,"Female","Clinical molecular geneticist",5341,"HEALTH_INSURANCE","2022-04-16",29,"2021-05-15",7034
