"customer_id","customer_name","customer_email","customer_address","age","gender","occupation","policy_id","policy_type","policy_start_date"
9887,"Samuel Williams","raguilar@example.net","22855 Hernandez Drive Apt. 750
East Marcus, AZ 85840",30,"Female","Best boy",1,"HEALTH_INSURANCE","2023-11-01"
5374,"Thomas Cobb","hperez@example.net","63162 Dakota Hill Suite 288
East Rebeccastad, SD 51454",45,"Female","Hydrologist",2,"HEALTH_INSURANCE","2022-04-22"
5507,"Steven Williams","kdyer@example.com","156 Ortega Crossing
North Christopherstad, KY 51701",19,"Female","Estate manager/land agent",3,"AUTO_INSURANCE","2022-07-01"
3386,"Michelle Sanchez","martinezkenneth@example.org","Unit 2064 Box 5231
DPO AP 12406",46,"Male","Accountant, chartered certified",4,"AUTO_INSURANCE","2022-08-04"
1361,"Michelle Cox","morandonna@example.net","58241 Frank Port
West Jeffstad, PW 46723",62,"Male","Hotel manager",5,"AUTO_INSURANCE","2023-12-05"
5050,"Mary Reynolds","tberg@example.org","43879 Hunt Land
Pierceport, AL 98708",26,"Male","Administrator, education",6,"HEALTH_INSURANCE","2022-05-05"
8896,"Angela Kent","jennifer55@example.com","9941 Irwin Spurs Apt. 698
Carlaborough, WV 37188",54,"Female","Telecommunications researcher",7,"HEALTH_INSURANCE","2022-12-20"
1151,"Latasha Jackson","cli@example.org","PSC 0397, Box 3261
APO AA 03805",27,"Female","Proofreader",8,"AUTO_INSURANCE","2023-12-28"
6561,"Victor Chandler","kimberly19@example.org","Unit 4408 Box 3629
DPO AE 49517",40,"Female","Education officer, museum",9,"AUTO_INSURANCE","2023-06-27"
2905,"Robert Simpson","tonya47@example.com","87400 Keith Creek Suite 036
Cynthialand, FL 80290",24,"Male","Buyer, industrial",10,"AUTO_INSURANCE","2023-03-31"
7284,"Mr. Joel Ramos","anna88@example.com","4965 Byrd Tunnel Suite 537
Barbarastad, AS 88309",50,"Female","Barrister's clerk",11,"AUTO_INSURANCE","2022-07-16"
7147,"Krista Burgess","pamelahiggins@example.net","87411 Armstrong Gardens Suite 824
Nguyenhaven, VA 41218",34,"Female","Engineer, technical sales",12,"AUTO_INSURANCE","2024-01-25"
8999,"Kristen Ford","jessica04@example.net","1624 Nicole Locks Suite 437
Richland, WA 11430",65,"Male","Advertising art director",13,"HEALTH_INSURANCE","2024-02-27"
6207,"Hannah Wells","vazquezjeffery@example.com","50232 Allison Road Suite 442
Lake Brianland, MP 56723",22,"Male","Engineer, civil (contracting)",14,"AUTO_INSURANCE","2023-03-04"
980,"Dwayne Stokes","patrickvaughan@example.org","PSC 7361, Box 1025
APO AP 56085",18,"Female","Education officer, museum",15,"HEALTH_INSURANCE","2022-06-20"
78,"Angela Chandler","ruizemily@example.com","976 Joseph Gardens
New Williamton, DE 99155",18,"Male","Communications engineer",16,"LIFE_INSURANCE","2022-05-06"
1296,"Heather Hansen","jill99@example.com","05078 Mayo Crest
Harmonfurt, VT 24486",50,"Male","Industrial/product designer",17,"AUTO_INSURANCE","2024-01-21"
3140,"Erika Fisher","ymcdaniel@example.com","2472 Alexander Streets Suite 781
Sarahmouth, OR 35202",39,"Female","Dentist",18,"HEALTH_INSURANCE","2022-09-22"
8064,"Ashley Owens MD","wheelerlouis@example.net","389 Cooper Isle
Keithton, MO 66365",34,"Male","Civil Service administrator",19,"HEALTH_INSURANCE","2022-06-25"
3744,"Victor Jones","james24@example.com","12996 Bradford Greens
New Jason, MO 75850",39,"Female","Comptroller",20,"LIFE_INSURANCE","2023-04-27"
9009,"Lisa Boyer","zwagner@example.net","2571 Gillespie Lane
Bryanburgh, IL 77662",19,"Female","Theme park manager",21,"AUTO_INSURANCE","2023-06-30"
1865,"Monica Jackson","taylorcarroll@example.org","3323 Matthew Flats Apt. 180
East Andrealand, PR 48319",53,"Male","Air cabin crew",22,"HEALTH_INSURANCE","2022-04-25"
2200,"Aaron Arellano","collierbrian@example.org","Unit 1624 Box 2816
DPO AA 12496",25,"Female","Therapist, horticultural",23,"AUTO_INSURANCE","2022-09-03"
8369,"Theresa Chavez","glovershannon@example.org","210 Todd Plaza Suite 256
Mikechester, MA 05597",28,"Male","Catering manager",24,"HEALTH_INSURANCE","2024-02-09"
3862,"Alexandria Oliver","xleonard@example.com","9993 Powell Island
South Nicole, MD 55383",33,"Female","Amenity horticulturist",25,"HEALTH_INSURANCE","2022-07-31"
80,"Elizabeth Ford","markmarshall@example.net","8932 Ferguson Via
Patriciashire, NV 91846",37,"Female","Social research officer, government",26,"AUTO_INSURANCE","2023-05-11"
5315,"Bianca Pena","jcox@example.net","173 Riley Ridges
Port John, MP 05873",52,"Female","Armed forces logistics/support/administrative officer",27,"HEALTH_INSURANCE","2022-09-29"
6269,"Melissa Perez","smithcarrie@example.net","0486 Koch Ville
East Charlotteland, PW 81950",18,"Male","Plant breeder/geneticist",28,"LIFE_INSURANCE","2023-08-05"
2317,"Brian Nash","trobles@example.net","564 Lopez Lakes
Matthewport, ND 67736",63,"Male","Advertising art director",29,"HEALTH_INSURANCE","2023-07-20"
1208,"James Howard","robertharmon@example.com","77271 Hunt Corner Suite 821
Travisport, PA 55741",45,"Female","Firefighter",30,"LIFE_INSURANCE","2022-05-31"
1337,"Matthew Dixon","fisherjacqueline@example.net","PSC 6546, Box 4516
APO AE 79411",41,"Male","Scientist, marine",31,"LIFE_INSURANCE","2023-04-05"
8979,"Jennifer Phelps DVM","flynch@example.net","076 Richard Terrace Suite 602
Walkerville, TX 01414",28,"Female","Minerals surveyor",32,"LIFE_INSURANCE","2023-10-28"
2670,"Kimberly Gordon","william94@example.com","15012 Murphy Ridges
North Walterville, MS 19743",18,"Male","Broadcast engineer",33,"AUTO_INSURANCE","2024-02-09"
2471,"Jessica Mckay","patrick25@example.com","99492 Daniel Villages Apt. 034
West Kennethside, RI 08421",26,"Male","Engineer, maintenance (IT)",34,"HEALTH_INSURANCE","2023-06-30"
6446,"Craig Porter","ashley15@example.org","908 Avery Throughway Apt. 070
East Tonya, VI 06952",23,"Female","Restaurant manager, fast food",35,"AUTO_INSURANCE","2022-12-05"
9628,"Joseph Robbins","paulasosa@example.com","351 Morrison Meadow
East Julieside, NM 34650",50,"Female","Commercial art gallery manager",36,"LIFE_INSURANCE","2023-07-06"
